"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"PR0000031","MONROVIA CINEMA CONCESSION I","410 S MYRTLE AVE ","MONROVIA","CA","91016","34.1473062310","-117.9998262160",""
"PR0000206","JOSYLN SENIOR CENTER","210 N CHAPEL AVE ","ALHAMBRA","CA","91801","34.0985255114","-118.1247669704","626-960-2995"
"PR0000213","STARBUCKS COFFEE #9685","145 N CITRUS AVE ","COVINA","CA","91723","34.0873269216","-117.8904601570",""
"PR0000250","VFW POST NO. 6110","16555 SIERRA HWY ","CANYON COUNTRY","CA","91351-1338","34.4475665285","-118.4262071069",""
"PR0000273","STABUCKS @ VONS #2066","18439 VENTURA BLVD ","TARZANA","CA","91356","34.1683814142","-118.5345700102",""
"PR0000278","COCOHODO TORRANCE","2734 SEPULVEDA BLVD ","TORRANCE","CA","90505","33.8224875707","-118.3331781785","310-530-3875"
"PR0000307","KING'S BAKERY","127 N GARFIELD AVE STE J","MONTEREY PARK","CA","91754","34.0633278558","-118.1236860085",""
"PR0000332","PAPA JOHN'S 2247","5457 E SOUTH ST ","LAKEWOOD","CA","90712","33.8607327640","-118.1260191534","562-925-5856"
"PR0000335","4 SEASONS HOTEL-THE BAR","2 DOLE DR","WESTLAKE VILLAGE","CA","91362","34.1513684739","-118.8045058003",""
"PR0000380","BENNYS 19TH HOLE SALOON","16829 PRAIRIE AVE ","LAWNDALE","CA","90260","33.8779521481","-118.3439872873",""
"PR0000462","TERRACE CINEMAS 6","28901 S WESTERN AVE ","RANCHO PALOS VERDES","CA","90275","33.7563535559","-118.3103981765","310-831-1919"
"PR0000506","TAZA","1825 W SUNSET BLVD ","LOS ANGELES","CA","90026","34.0780570128","-118.2598302806","213-568-3419"
"PR0000527","VONS-STARBUCKS #1638","4226 WOODRUFF AVE ","LAKEWOOD","CA","90713","33.8351752270","-118.1154323770",""
"PR0000572","BASKIN ROBBINS","6700 LAUREL CANYON BLVD ","NORTH HOLLYWOOD","CA","91606","34.1923196409","-118.3963143400",""
"PR0000588","COLDSTONE CREAMERY #341","28154 S WESTERN AVE ","SAN PEDRO","CA","90732","33.7634654082","-118.3112184871",""
"PR0000592","STARBUCKS COFFEE #5348","2100 S ATLANTIC BLVD ","MONTEREY PARK","CA","91754","34.0383473155","-118.1444997144",""
"PR0000665","VONS STARBUCKS #2001","5671 KANAN RD ","AGOURA HILLS","CA","91301","34.1533988561","-118.7575430179",""
"PR0000716","CLOVER JUICE","342 S LA BREA AVE ","LOS ANGELES","CA","90036","34.0676243787","-118.3438246083","310-775-7064"
"PR0000834","COLD STONE CREAMERY #418","1009 W ARROW HWY ","SAN DIMAS","CA","91773","34.1068035262","-117.8269187139",""
"PR0000848","ICEE MIX IT UP","111 RAGING WATERS DR ","SAN DIMAS","CA","91773-3928","34.0955625255","-117.8100137319",""
"PR0000870","LAS TORRES","11717 1/2 VICTORY BLVD","NORTH HOLLYWOOD","CA","91606","34.1868282494","-118.3883760470",""
"PR0000907","EARTH BAR EQUINOX ENCINO","16830 VENTURA BLVD # #165","ENCINO","CA","91436","","","310-717-9002"
"PR0000945","EDIBLE ARRANGEMENTS","1265 WESTWOOD BLVD ","LOS ANGELES","CA","90024","34.0573795143","-118.4432391380",""
"PR0001052","ALL STAR PARK COMPANY","17911 S BELLFLOWER BLVD ","BELLFLOWER","CA","90706","33.8692697078","-118.1256418161",""
