"business_id","score","date","type"
10,"82","20160503","routine"
10,"94","20140729","routine"
10,"92","20140114","routine"
19,"94","20160513","routine"
19,"94","20141110","routine"
19,"94","20140214","routine"
24,"98","20161005","routine"
24,"96","20160311","routine"
24,"96","20141124","routine"
24,"96","20140612","routine"
31,"84","20160816","routine"
31,"98","20151204","routine"
31,"100","20140908","routine"
45,"84","20160614","routine"
45,"78","20160104","routine"
45,"94","20140909","routine"
48,"94","20160630","routine"
48,"92","20140523","routine"
50,"80","20160614","routine"
50,"100","20140402","routine"
54,"100","20150526","routine"
54,"92","20140325","routine"
56,"90","20160802","routine"
56,"88","20151222","routine"
56,"98","20141117","routine"
56,"100","20140423","routine"
58,"73","20160407","routine"
58,"78","20140725","routine"
61,"94","20160708","routine"
61,"92","20150827","routine"
61,"94","20140530","routine"
66,"100","20160902","routine"
66,"98","20160322","routine"
66,"100","20150828","routine"
66,"98","20141119","routine"
66,"91","20140519","routine"
66,"98","20140210","routine"
67,"94","20161019","routine"
67,"87","20160401","routine"
67,"90","20150520","routine"
67,"94","20140205","routine"
73,"92","20160927","routine"
73,"85","20150717","routine"
73,"92","20140522","routine"
76,"98","20161005","routine"
76,"100","20160311","routine"
76,"100","20141124","routine"
76,"96","20140612","routine"
77,"96","20161005","routine"
77,"91","20160311","routine"
77,"96","20141124","routine"
77,"94","20140612","routine"
80,"98","20160412","routine"
80,"100","20140520","routine"
81,"96","20150330","routine"
81,"92","20140210","routine"
88,"89","20150824","routine"
88,"74","20141014","routine"
88,"78","20140211","routine"
95,"86","20160718","routine"
95,"88","20151210","routine"
95,"85","20141009","routine"
95,"86","20140506","routine"
98,"96","20160316","routine"
98,"94","20150629","routine"
98,"96","20140324","routine"
99,"76","20150811","routine"
101,"98","20160525","routine"
101,"96","20140902","routine"
102,"85","20161103","routine"
102,"100","20150609","routine"
102,"91","20140507","routine"
108,"94","20150417","routine"
116,"76","20160527","routine"
116,"96","20140910","routine"
121,"86","20151020","routine"
121,"90","20140813","routine"
121,"87","20140129","routine"
125,"92","20160520","routine"
125,"100","20140915","routine"
126,"80","20151201","routine"
126,"75","20141028","routine"
126,"70","20140410","routine"
132,"81","20160509","routine"
132,"86","20150225","routine"
132,"88","20140625","routine"
134,"98","20150806","routine"
140,"85","20160414","routine"
140,"96","20140709","routine"
141,"100","20160627","routine"
141,"100","20141017","routine"
141,"98","20140409","routine"
146,"84","20161017","routine"
146,"84","20160407","routine"
146,"91","20150723","routine"
146,"98","20140429","routine"
151,"92","20160726","routine"
151,"87","20150520","routine"
151,"96","20140312","routine"
155,"100","20151229","routine"
155,"87","20150610","routine"
155,"94","20140623","routine"
155,"94","20140224","routine"
164,"87","20161110","routine"
164,"96","20151106","routine"
164,"100","20141017","routine"
164,"100","20140403","routine"
178,"66","20160623","routine"
178,"90","20140730","routine"
178,"96","20140204","routine"
179,"94","20140522","routine"
180,"94","20161220","routine"
180,"98","20160617","routine"
180,"88","20160106","routine"
180,"91","20141104","routine"
180,"100","20140520","routine"
184,"98","20161003","routine"
184,"96","20140923","routine"
187,"89","20160511","routine"
187,"100","20141023","routine"
187,"100","20140401","routine"
190,"100","20161206","routine"
190,"92","20150327","routine"
190,"98","20140421","routine"
192,"90","20160628","routine"
192,"92","20140813","routine"
194,"80","20150420","routine"
194,"90","20140307","routine"
194,"88","20140305","routine"
198,"92","20151029","routine"
198,"94","20150206","routine"
198,"96","20140505","routine"
200,"94","20151001","routine"
200,"87","20150129","routine"
200,"92","20140317","routine"
208,"92","20151007","routine"
208,"94","20150212","routine"
208,"91","20140313","routine"
216,"100","20150126","routine"
216,"100","20140626","routine"
217,"90","20160912","routine"
217,"94","20160329","routine"
217,"94","20150818","routine"
217,"94","20140624","routine"
221,"100","20160511","routine"
221,"91","20140122","routine"
226,"82","20160523","routine"
226,"89","20140910","routine"
231,"88","20160301","routine"
231,"92","20140902","routine"
231,"92","20140204","routine"
234,"81","20160927","routine"
234,"81","20160503","routine"
234,"82","20150505","routine"
234,"79","20140415","routine"
236,"96","20161017","routine"
236,"94","20151214","routine"
236,"88","20141118","routine"
239,"84","20160525","routine"
239,"90","20140507","routine"
240,"82","20161004","routine"
240,"68","20150813","routine"
240,"79","20140724","routine"
240,"79","20140206","routine"
247,"86","20161114","routine"
247,"83","20160503","routine"
247,"83","20140909","routine"
247,"94","20140304","routine"
251,"96","20160616","routine"
251,"96","20140612","routine"
253,"96","20161208","routine"
253,"94","20160622","routine"
253,"98","20150217","routine"
253,"100","20140505","routine"
256,"96","20161019","routine"
256,"100","20150908","routine"
256,"98","20140303","routine"
258,"78","20160922","routine"
258,"88","20160407","routine"
258,"98","20150528","routine"
258,"94","20141003","routine"
258,"96","20140407","routine"
267,"84","20160721","routine"
267,"69","20150730","routine"
267,"93","20140528","routine"
268,"91","20160725","routine"
268,"94","20150903","routine"
