"business_id","date","description"
10,"20160503","High risk food holding temperature   [ date violation corrected: 5/3/2016 ]"
10,"20160503","High risk food holding temperature   [ date violation corrected: 5/3/2016 ]"
10,"20160503","High risk vermin infestation"
10,"20160503","Unapproved or unmaintained equipment or utensils"
10,"20160503","No thermometers or uncalibrated thermometers "
10,"20140729","Insufficient hot water or running water  [ date violation corrected: 8/7/2014 ]"
10,"20140729","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 8/7/2014 ]"
10,"20140114","Improper storage of equipment utensils or linens  [ date violation corrected: 1/24/2014 ]"
10,"20140114","Unclean or degraded floors walls or ceilings  [ date violation corrected: 1/24/2014 ]"
10,"20140114","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 1/24/2014 ]"
19,"20160513","Unapproved or unmaintained equipment or utensils"
19,"20160513","Food safety certificate or food handler card not available"
19,"20160513","Unclean or degraded floors walls or ceilings"
19,"20141110","Improper storage of equipment utensils or linens  [ date violation corrected: 5/13/2016 ]"
19,"20141110","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 5/13/2016 ]"
19,"20140214","Permit license or inspection report not posted  [ date violation corrected: 11/10/2014 ]"
19,"20140214","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 2/14/2014 ]"
24,"20161005","Unclean or degraded floors walls or ceilings"
24,"20160311","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/11/2016 ]"
24,"20160311","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/5/2016 ]"
24,"20141124","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 3/11/2016 ]"
24,"20140612","Permit license or inspection report not posted  [ date violation corrected: 11/24/2014 ]"
24,"20140612","Improper storage of equipment utensils or linens  [ date violation corrected: 11/24/2014 ]"
31,"20160816","Improper storage of equipment utensils or linens  [ date violation corrected: 9/1/2016 ]"
31,"20160816","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 9/1/2016 ]"
31,"20160816","Improper storage use or identification of toxic substances  [ date violation corrected: 9/1/2016 ]"
31,"20160816","Permit license or inspection report not posted  [ date violation corrected: 9/1/2016 ]"
31,"20160816","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 9/1/2016 ]"
31,"20160816","Improper food storage  [ date violation corrected: 9/1/2016 ]"
31,"20151204","Food safety certificate or food handler card not available  [ date violation corrected: 8/16/2016 ]"
45,"20160614","Unclean or degraded floors walls or ceilings"
45,"20160614","Foods not protected from contamination"
45,"20160614","Inadequate food safety knowledge or lack of certified food safety manager"
45,"20160614","Moderate risk vermin infestation"
45,"20160614","Unapproved or unmaintained equipment or utensils"
45,"20160104","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Unclean or degraded floors walls or ceilings  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Employee eating or smoking  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Unclean nonfood contact surfaces  [ date violation corrected: 5/30/2016 ]"
45,"20140909","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 12/28/2015 ]"
45,"20140909","Improper storage of equipment utensils or linens  [ date violation corrected: 12/28/2015 ]"
45,"20140909","Unclean or degraded floors walls or ceilings  [ date violation corrected: 12/28/2015 ]"
48,"20140523","Unclean nonfood contact surfaces"
48,"20140523","Foods not protected from contamination"
48,"20140523","Low risk vermin infestation"
50,"20160614","Inadequate and inaccessible handwashing facilities"
50,"20160614","Foods not protected from contamination"
50,"20160614","Wiping cloths not clean or properly stored or inadequate sanitizer"
50,"20160614","No thermometers or uncalibrated thermometers "
50,"20160614","Inadequate ventilation or lighting"
50,"20160614","Inadequate procedures or records for time as a public health control "
50,"20160614","Food safety certificate or food handler card not available"
54,"20140325","Moderate risk food holding temperature   [ date violation corrected: 5/26/2015 ]"
54,"20140325","Inadequate sewage or wastewater disposal  [ date violation corrected: 5/26/2015 ]"
56,"20160802","Unclean or degraded floors walls or ceilings"
56,"20160802","Unapproved or unmaintained equipment or utensils"
56,"20160802","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 8/2/2016 ]"
56,"20160802","Wiping cloths not clean or properly stored or inadequate sanitizer"
56,"20151222","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 12/30/2015 ]"
56,"20151222","Foods not protected from contamination  [ date violation corrected: 12/30/2015 ]"
56,"20151222","Moderate risk food holding temperature   [ date violation corrected: 12/30/2015 ]"
56,"20141117","Permit license or inspection report not posted  [ date violation corrected: 12/22/2015 ]"
58,"20160407","High risk food holding temperature   [ date violation corrected: 4/7/2016 ]"
58,"20160407","No thermometers or uncalibrated thermometers "
58,"20160407","Low risk vermin infestation"
58,"20160407","Unclean or unsanitary food contact surfaces  [ date violation corrected: 4/7/2016 ]"
58,"20160407","Inadequate ventilation or lighting"
58,"20160407","Improper cooling methods  [ date violation corrected: 4/7/2016 ]"
58,"20140725","Unclean or unsanitary food contact surfaces  [ date violation corrected: 8/5/2014 ]"
58,"20140725","Moderate risk food holding temperature   [ date violation corrected: 8/5/2014 ]"
58,"20140725","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 8/5/2014 ]"
58,"20140725","High risk vermin infestation  [ date violation corrected: 8/5/2014 ]"
61,"20160708","Improper food storage"
61,"20160708","Unclean nonfood contact surfaces"
61,"20160708","Improper or defective plumbing"
61,"20150827","Unclean nonfood contact surfaces  [ date violation corrected: 7/8/2016 ]"
61,"20150827","Foods not protected from contamination  [ date violation corrected: 7/8/2016 ]"
61,"20150827","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 7/8/2016 ]"
61,"20140530","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 5/30/2014 ]"
61,"20140530","Unclean nonfood contact surfaces  [ date violation corrected: 8/27/2015 ]"
61,"20140530","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 8/27/2015 ]"
66,"20160322","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 9/2/2016 ]"
66,"20141119","Inadequate warewashing facilities or equipment  [ date violation corrected: 8/28/2015 ]"
66,"20140519","No plan review or Building Permit  [ date violation corrected: 11/19/2014 ]"
66,"20140519","No hot water or running water  [ date violation corrected: 5/19/2014 ]"
66,"20140210","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 2/10/2014 ]"
67,"20161019","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 10/19/2016 ]"
67,"20161019","Unclean or degraded floors walls or ceilings"
67,"20160401","Unclean or unsanitary food contact surfaces  [ date violation corrected: 4/8/2016 ]"
67,"20160401","Low risk vermin infestation  [ date violation corrected: 10/19/2016 ]"
67,"20160401","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 10/19/2016 ]"
67,"20160401","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/19/2016 ]"
67,"20150520","Improper storage of equipment utensils or linens  [ date violation corrected: 4/1/2016 ]"
67,"20150520","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 5/20/2015 ]"
67,"20150520","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 4/1/2016 ]"
67,"20140205","Low risk vermin infestation  [ date violation corrected: 3/18/2014 ]"
67,"20140205","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 3/18/2014 ]"
73,"20160927","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 10/17/2016 ]"
73,"20160927","Moderate risk vermin infestation  [ date violation corrected: 10/17/2016 ]"
73,"20160927","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/17/2016 ]"
73,"20150717","Improper storage use or identification of toxic substances  [ date violation corrected: 9/27/2016 ]"
73,"20150717","Improper food storage  [ date violation corrected: 9/27/2016 ]"
73,"20150717","Improper storage of equipment utensils or linens  [ date violation corrected: 9/27/2016 ]"
73,"20150717","Low risk vermin infestation  [ date violation corrected: 9/27/2016 ]"
73,"20150717","High risk food holding temperature   [ date violation corrected: 9/27/2016 ]"
73,"20140522","Improper food storage  [ date violation corrected: 7/17/2015 ]"
73,"20140522","Foods not protected from contamination  [ date violation corrected: 7/17/2015 ]"
73,"20140522","Unclean nonfood contact surfaces  [ date violation corrected: 7/17/2015 ]"
76,"20161005","Unclean or degraded floors walls or ceilings"
76,"20140612","Permit license or inspection report not posted  [ date violation corrected: 11/24/2014 ]"
76,"20140612","Improper storage of equipment utensils or linens  [ date violation corrected: 11/24/2014 ]"
77,"20161005","Unclean or degraded floors walls or ceilings"
77,"20161005","Improper food storage"
77,"20160311","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 10/5/2016 ]"
77,"20160311","High risk food holding temperature   [ date violation corrected: 10/5/2016 ]"
77,"20141124","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 3/11/2016 ]"
77,"20141124","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 3/11/2016 ]"
77,"20140612","Moderate risk food holding temperature   [ date violation corrected: 11/24/2014 ]"
77,"20140612","Permit license or inspection report not posted  [ date violation corrected: 11/24/2014 ]"
80,"20160412","Improper food storage"
81,"20150330","Moderate risk food holding temperature   [ date violation corrected: 5/4/2015 ]"
81,"20140210","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 3/30/2015 ]"
81,"20140210","Foods not protected from contamination  [ date violation corrected: 3/30/2015 ]"
88,"20150824","Permit license or inspection report not posted  [ date violation corrected: 10/6/2015 ]"
88,"20150824","High risk food holding temperature   [ date violation corrected: 10/6/2015 ]"
88,"20150824","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/6/2015 ]"
88,"20141014","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 11/10/2014 ]"
88,"20141014","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 10/14/2014 ]"
88,"20141014","Moderate risk vermin infestation  [ date violation corrected: 11/10/2014 ]"
88,"20141014","Unclean or degraded floors walls or ceilings  [ date violation corrected: 11/10/2014 ]"
88,"20141014","Contaminated or adulterated food  [ date violation corrected: 10/14/2014 ]"
88,"20141014","High risk food holding temperature   [ date violation corrected: 11/10/2014 ]"
