entry_date;transaction_time;customer_id;age_code;residence_area;product_subclass;product_id;amount;asset;sales_price
2016-12-26;2001-01-15 00:00:00;01786439  ;G ;H ;110109;4710043552065;1;144;190
2016-12-26;2001-01-15 00:00:00;00098946  ;E ;E ;100312;4710543111014;1;32;38
2016-12-26;2001-01-15 00:00:00;00905602  ;D ;E ;500206;4710114322115;1;64;79
2016-12-26;2001-01-15 00:00:00;01964295  ;E ;E ;530106;4713813010123;1;174;147
2016-12-26;2001-01-15 00:00:00;02146553  ;B ;D ;100217;8801019421013;1;47;52
2016-12-26;2001-01-15 00:00:00;01689983  ;B ;F ;500307;4901422038939;1;110;159
2016-12-26;2001-01-15 00:00:00;01660289  ;D ;C ;760512;4714800272258;1;33;49
2016-12-26;2001-01-15 00:00:00;01574203  ;G ;E ;120103;4710011409056;1;23;28
2016-12-26;2001-01-15 00:00:00;01297232  ;E ;F ;100322;4710174053691;1;242;269
2016-12-26;2001-01-15 00:00:00;01095661  ;C ;E ;100311;8804108010105;1;51;69
2016-12-26;2001-01-15 00:00:00;02129600  ;G ;H ;100201;4712494220784;1;61;78
2016-12-26;2001-01-15 00:00:00;02171777  ;D ;H ;300716;0010742201412;1;63;79
2016-12-26;2001-01-15 00:00:00;01753394  ;E ;E ;300408;20072605     ;1;27;40
2016-12-26;2001-01-15 00:00:00;02024783  ;C ;E ;100440;4710160001033;1;84;99
2016-12-26;2001-01-15 00:00:00;01666410  ;I ;E ;530112;4715890102432;1;39;49
2016-12-26;2001-01-15 00:00:00;01648850  ;D ;F ;530105;4710363723008;1;40;52
2016-12-26;2001-01-15 00:00:00;00905602  ;D ;E ;120103;4710697561048;1;64;75
2016-12-26;2001-01-15 00:00:00;01907209  ;I ;E ;120103;4710572001232;1;21;26
2016-12-26;2001-01-15 00:00:00;01589917  ;D ;G ;500803;9300603830020;1;34;38
2016-12-26;2001-01-15 00:00:00;01332292  ;E ;F ;500202;4710908111116;1;94;80
2016-12-26;2001-01-15 00:00:00;00915397  ;D ;E ;100503;4710105017129;1;31;42
2016-12-26;2001-01-14 00:00:00;01262131  ;D ;F ;500518;20432911     ;1;50;46
2016-12-26;2001-01-16 00:00:00;01899887  ;G ;B ;100418;4710094004810;1;142;176
2016-12-26;2001-01-15 00:00:00;01539042  ;E ;E ;760220;2100047005131;1;55;75
2016-12-26;2001-01-15 00:00:00;01311297  ;G ;E ;510114;20561574     ;1;285;399
2016-12-26;2001-01-15 00:00:00;00701532  ;G ;E ;530601;4710363535007;1;181;265
2016-12-26;2001-01-15 00:00:00;01962680  ;F ;F ;110102;4714617946069;1;18;26
2016-12-26;2001-01-15 00:00:00;01761023  ;C ;E ;560104;4710032000010;1;96;129
2016-12-26;2001-01-15 00:00:00;01161984  ;D ;E ;100102;0723125488026;1;50;65
2016-12-26;2001-01-14 00:00:00;02085579  ;E ;F ;300424;4710076432013;1;90;88
2016-12-26;2001-01-15 00:00:00;00457415  ;F ;F ;100108;7610700602393;1;65;79
2016-12-26;2001-01-15 00:00:00;01824599  ;C ;A ;120204;4710311972021;1;251;211
2016-12-26;2001-01-15 00:00:00;01457353  ;F ;E ;100413;4710960895092;1;112;149
2016-12-26;2001-01-15 00:00:00;01746587  ;D ;D ;110117;4710063031144;2;114;108
2016-12-26;2001-01-15 00:00:00;01637274  ;C ;F ;500806;4713489510019;1;146;199
2016-12-26;2001-01-14 00:00:00;01401783  ;B ;E ;300716;4710223169120;1;83;115
2016-12-26;2001-01-14 00:00:00;00158282  ;F ;E ;120109;4712453006220;1;45;59
2016-12-26;2001-01-14 00:00:00;01282795  ;G ;C ;500804;9310022862809;2;42;54
2016-12-26;2001-01-14 00:00:00;02048079  ;C ;D ;560402;8712045008539;2;1266;1130
2016-12-26;2001-01-14 00:00:00;00121514  ;F ;E ;130315;4713985863121;1;25;25
2016-12-26;2001-01-14 00:00:00;01774955  ;J ;A ;110603;4710254011634;1;89;105
2016-12-26;2001-01-14 00:00:00;01848410  ;K ;H ;110402;4710088414311;3;159;183
2016-12-26;2001-01-14 00:00:00;01563252  ;J ;H ;530110;4902430041270;1;204;239
2016-12-26;2001-01-14 00:00:00;01533248  ;E ;E ;710501;20521240     ;1;513;650
2016-12-26;2001-01-14 00:00:00;01813845  ;D ;C ;100515;4710171051324;1;41;49
2016-12-26;2001-01-15 00:00:00;01739978  ;H ;G ;110136;4716147020134;1;34;44
2016-12-26;2001-01-14 00:00:00;01785883  ;D ;F ;730303;4714903020237;1;329;349
2016-12-26;2001-01-14 00:00:00;00440875  ;I ;F ;100443;4710271000628;1;39;52
