address,business_id,city,latitude,longitude,name,phone_number,postal_code,state
"807 F Street",488021,"San Diego",32.713555,-117.157234,"SALAD STYLE",,92101,CA
"9350 Clairemont Mesa Boulevard",973398,"San Diego",32.832486,-117.1275479,"KHANS CAVE GRILL AND TAVERN",,92123,CA
"7680 El Camino Real",591833,Carlsbad,33.086239,-117.268665,"THAI PASTA",,92009,CA
"510 West 13th Avenue",498820,Escondido,33.108092,-117.080649,"SPROUTS FARMERS MARKET",,92025,CA
"2540 El Camino Real",558110,Carlsbad,33.179909,-117.326706,"BASKIN ROBBINS",,92008,CA
"1970 College Blvd",146695,Oceanside,33.208991,-117.284883,"DEL TACO #840",,92056,CA
"5270 Baltimore Drive",347751,"La Mesa",32.775047,-117.0279,"THE OMELETTE FACTORY",,91942,CA
"7121 Broadway",246857,"Lemon Grove",32.741827,-117.044042,"WATER 4 U",,91945,CA
"1530 Jamacha Rd",420024,"El Cajon",32.76818,-116.927872,"JAMACHA LIQUOR",,92019,CA
"7100 Broadway",375628,"Lemon Grove",32.742595,-117.0441,"CVS PHARMACY #9112",,91945,CA
"8695 La Mesa Boulevard",245391,"La Mesa",32.769779,-117.009873,"MART LIQUOR",,91942,CA
"4250 Executive Square",386936,"San Diego",32.874088,-117.215006,"EDDY M'S CAFE",,92037,CA
"2130 Vista Way",337263,"San Diego",33.182412,-117.344643,"PARTY CITY",,92054,CA
"1970 College Boulevard",375648,Oceanside,33.209007,-117.284329,"CVS PHARMACY #9549",,92056,CA
"270 North El Camino Real",576805,Encinitas,33.051074,-117.26069,"ROSANNAS PASTA SHOP",,92024,CA
"988 Escondido Avenue",990790,Vista,33.190795,-117.2369889,"RANCHO VISTA MARKET",,92083,CA
"330 West Broadway",504285,"San Diego",32.71584,-117.166055,"SUBWAY #18510",,92101,CA
"3304 Mission Avenue",314692,Oceanside,33.2156,-117.345195,"YUM YUM DONUTS FRANCHISE #510 D",,92058,CA
"2654 Del Mar Heights Road",265873,"Del Mar",32.948886,-117.246856,"DEL MAR WINE CO",,92014,CA
"2150 Vista Way",499850,"San Diego",33.183132,-117.338348,STAPLES,,92056,CA
"1699 East Main Street",442638,"El Cajon",32.812146,-116.91851,"MAIN STREET VALERO AND CAR WASH",,92021,CA
"3358 Governor Dr",325254,"San Diego",32.851175,-117.215195,"SPROUTS FARMERS MARKET",,92122,CA
"511 Olive Avenue",229399,Vista,33.205675,-117.251843,"CANTEEN SAN DIEGO",,92083,CA
"4653 Carmel Mountain Road",387092,"San Diego",32.920615,-117.213486,"EDIBLE ARRANGEMENTS",,92130,CA
"750 Front Street",488439,"San Diego",32.713086,-117.164782,SALVATORES,,92101,CA
"2015 Birch Road",238795,"Chula Vista",32.622423,-116.96607,"CHEESECAKE FACTORY",,91915,CA
"5027 Newport Ave",90452,"San Diego",32.747164,-117.251558,"BAR B QUE HOUSE",,92107,CA
"3030 Plaza Bonita Road",420141,"National City",32.656338,-117.065814,"JAMBA JUICE #1092",,91950,CA
"2110 Vista Way",96933,Oceanside,33.180983,-117.345277,"BEST BUY STORE #437",,92054,CA
"6655 Alvarado Road",481178,"San Diego",32.776095,-117.057405,"REFRESH COFFEE",,92120,CA
"7663 Broadway",973252,"Lemon Grove",32.742013,-117.032797,"GTM DISCOUNT GENERAL STORES",,91945,CA
"5647 Balboa Ave",162322,"San Diego",32.819892,-117.17992,"MR FISH & CHIPS",,92111,CA
"3663 Euclid Avenue",496406,"San Diego",32.745078,-117.092232,"SNR MARKET & LIQUOR",,92105,CA
"274 N El Camino Real",166628,Encinitas,33.053247,-117.261439,"ROBERTOS MEXICAN FOOD",,92024,CA
"4446 Highway 79",598227,Julian,33.037778,-116.563278,"PINEZANITA TRAILER RANCH",,92036,CA
"2662 Del Mar Heights Road",375639,"Del Mar",32.950198,-117.246339,"CVS PHARMACY #9247",,92014,CA
"1913 Main Street",350591,Julian,33.076589,-116.60024,"RAMCO PETROLEUM #5",,92036,CA
"2855 Midway Drive",536668,"San Diego",32.749196,-117.205555,"YUMMY BUFFET",,92110,CA
"2949 Jamacha Rd",271695,"El Cajon",32.739714,-116.940791,"KFC #C191010",,92019,CA
"1150 Julian Orchards Drive",449869,Julian,33.104106,-116.606876,"MENGHINI WINERY",,92036,CA
"12561 Highway 79",562666,Descanso,32.932394,-116.562679,"CAMP CUYAMACA",,91916,CA
"8973 Mira Mesa Boulevard",507583,"San Diego",32.914795,-117.131487,"SUSHI AFFAIR",,92126,CA
"8973 Mira Mesa Boulevard",272414,"San Diego",32.914795,-117.131487,"HAPPYS SUSHI JAPANESE CUISINE",,92126,CA
"4815 El Cajon Blvd",159982,"San Diego",32.756185,-117.090866,"DISCOUNT LIQUOR",,92115,CA
"303 W Broadway",83776,"San Diego",32.715625,-117.166214,"ASIAN BISTRO",,92101,CA
"8736 Lake Murray Boulevard",387365,"La Mesa",32.801781,-117.011721,"EINSTEIN BROS BAGELS #2426",,92119,CA
"3320 Mission Avenue",452547,Oceanside,33.215865,-117.344815,"MISSION ASIAN MARKET",,92058,CA
"3843 Richmond St",74329,"San Diego",32.748016,-117.151231,"AMARIN THAI CUISINE",,92103,CA
"10678 Sunrise Hwy",347340,"Pine Valley",32.869587,-116.415813,"LAGUNA MT LODGE",,91962,CA
"4811 El Cajon Blvd",69738,"San Diego",32.756175,-117.090942,"AFRICAN CARIBBEAN FOOD MARKET",,92115,CA
"500 Sea World Drive",333159,"San Diego",32.765993,-117.226628,"SEAWORLD - SHIPWRECK",,92109,CA
"3320 Mission Avenue",329948,Oceanside,33.215865,-117.344815,"DAVINAS FINE MEXICAN FOOD",,92058,CA
"878 Orange Ave",86103,Coronado,32.68866,-117.17836,"AVENUE LIQUOR STORE",,92118,CA
"12358 Poway Road",260684,"San Diego",32.951893,-117.063529,"CVS/PHARMACY #9105",,92064,CA
"149 Lomas Santa Fe Dr",452304,"Solana Beach",32.992252,-117.26948,"MINUTE SHOP LIQUER",,92075,CA
"3004 Juniper Street",376604,"San Diego",32.729834,-117.129326,"DAILY SCOOP ON JUNIPER",,92104,CA
"3030 Plaza Bonita Road",277874,"National City",32.656338,-117.065814,CINNABON,,91950,CA
"4445 Lamont Street",517606,"San Diego",32.799935,-117.234906,"THE PATIO ON LAMONT STREET",,92109,CA
"2883 Jamacha Rd",346255,"El Cajon",32.741409,-116.937494,"PARTY CITY #592",,92019,CA
"3015 Del Mar Heights Rd",378516,"San Diego",32.950908,-117.241176,"DEL MAR HEIGHTS RD #121073",,92130,CA
"635 W Mission Ave",182798,Escondido,33.127215,-117.095329,"LA GUADALUPANA",,92025,CA
"900 Orange Avenue",284550,"San Diego",32.687271,-117.179559,"CORONADO 76",,92118,CA
"4030 Goldfinch Street",329065,"San Diego",32.750444,-117.171673,"LEFTYS CHICAGO PIZZERIA",,92103,CA
"836 Orange Avenue",299578,"San Diego",32.68826,-117.179004,"RITE AID STORE #5655",,92118,CA
"12507 Rancho Bernardo Road",479671,"San Diego",33.018339,-117.060387,"RANCHO BERNARDO SHELL",,92128,CA
"2590 El Camino Real",228428,Carlsbad,33.178122,-117.326209,"CAMINO SHELL",,92008,CA
"7888 Silverton Avenue",514688,"Mira Mesa",32.891466,-117.150897,"THE BEST TO YOU",,92126,CA
"4770 Oceanside Boulevard",463123,Oceanside,33.216586,-117.271359,"ONE STOP CONVENIENCE",,92054,CA
"7785 Broadway",411936,"Lemon Grove",32.742658,-117.030824,"HIGHLAND SMOKE SHOP #2",,91945,CA
"7020 El Cajon Blvd",255610,"San Diego",32.768771,-117.046285,"STARLIGHT MARKET",,92115,CA
"1715 Strand Way",491260,Coronado,32.678411,-117.17395,"SEAFORTH BOAT RENTALS",,92118,CA
