business_id,date,description,result,score,type
488021,20160202,,,96,routine
488021,20161216,,,97,routine
488021,20161215,,,,routine
488021,20131113,,,94,routine
488021,20130226,,,95,routine
488021,20120919,,,,followup
488021,20140724,,,,followup
488021,20140723,,,91,routine
488021,20150408,,,99,routine
973398,20151202,,,90,routine
973398,20160816,,,92,routine
973398,20160816,,,,followup
973398,20160811,,,80,routine
973398,20160811,,,,followup
973398,20161216,,,96,routine
973398,20161216,,,,followup
973398,20161215,,,,followup
973398,20161214,,,84,routine
591833,20150630,,,94,routine
591833,20141009,,,95,routine
591833,20140428,,,98,routine
591833,20160127,,,95,routine
591833,20161215,,,96,routine
591833,20161215,,,,followup
591833,20161214,,,,routine
498820,20131106,,,98,routine
498820,20131106,,,,routine
498820,20130320,,,100,routine
498820,20130320,,,,routine
498820,20121012,,,99,routine
498820,20121012,,,98,routine
498820,20121012,,,,routine
498820,20150903,,,100,routine
498820,20150903,,,99,routine
498820,20150903,,,,routine
498820,20141231,,,100,routine
498820,20141231,,,98,routine
498820,20141231,,,,routine
498820,20140409,,,100,routine
498820,20140409,,,98,routine
498820,20140409,,,95,routine
498820,20160516,,,100,routine
498820,20160516,,,98,routine
498820,20160516,,,,followup
498820,20160516,,,,followup
498820,20160516,,,,routine
498820,20160516,,,,routine
498820,20160516,,,,routine
498820,20161215,,,100,routine
498820,20161215,,,100,routine
498820,20161215,,,,routine
558110,20140219,,,,followup
558110,20140211,,,95,routine
558110,20150921,,,,followup
558110,20150831,,,94,routine
558110,20141010,,,95,routine
558110,20160328,,,98,routine
558110,20161215,,,,followup
558110,20161214,,,,routine
558110,20161214,,,,followup
146695,20140203,,,94,routine
146695,20130517,,,96,routine
146695,20130104,,,,followup
146695,20141112,,,,followup
146695,20141023,,,92,routine
146695,20140204,,,,followup
146695,20151208,,,96,routine
146695,20150805,,,,followup
146695,20150714,,,91,routine
146695,20160608,,,95,routine
146695,20161214,,,92,routine
146695,20161214,,,,followup
347751,20130305,,,,followup
347751,20130228,,,,followup
347751,20130221,,,90,routine
347751,20140506,,,93,routine
347751,20150827,,,92,routine
347751,20141125,,,92,routine
347751,20140528,,,,followup
347751,20160405,,,91,routine
347751,20161103,,,96,routine
347751,20161214,,,98,routine
246857,20131122,,,98,routine
246857,20120724,,,98,routine
246857,20110629,,,,followup
246857,20151209,,,100,routine
246857,20150609,,,,followup
246857,20141202,,,100,routine
246857,20161214,,,100,routine
420024,20120217,,,98,routine
420024,20110527,,,95,routine
420024,20151211,,,99,routine
420024,20141210,,,95,routine
420024,20130422,,,95,routine
420024,20161214,,,100,routine
375628,20120814,,,98,routine
375628,20110621,,,92,routine
375628,20151209,,,99,routine
375628,20141125,,,100,routine
375628,20131121,,,96,routine
375628,20161214,,,100,routine
245391,20120221,,,94,routine
245391,20110408,,,,followup
245391,20151208,,,95,routine
245391,20140825,,,94,routine
245391,20130801,,,95,routine
245391,20161214,,,100,routine
386936,20130620,,,91,routine
386936,20120706,,,91,routine
386936,20120327,,,,followup
386936,20140508,,,,followup
386936,20140423,,,90,routine
386936,20150311,,,92,routine
386936,20150318,,,,followup
386936,20150827,,,99,routine
386936,20150410,,,,followup
386936,20150401,,,,followup
386936,20160226,,,,followup
386936,20160219,,,91,routine
386936,20161214,,,92,routine
337263,20120723,,,100,routine
337263,20110701,,,100,routine
337263,20151120,,,100,routine
337263,20140902,,,100,routine
337263,20130826,,,100,routine
337263,20161214,,,98,routine
375648,20120315,,,97,routine
375648,20110318,,,100,routine
375648,20151208,,,98,routine
375648,20141023,,,93,routine
375648,20130517,,,96,routine
375648,20161214,,,95,routine
576805,20150225,,,96,routine
576805,20140407,,,96,routine
576805,20160108,,,97,routine
576805,20161214,,,97,routine
990790,20160407,,,92,routine
990790,20161214,,,,followup
990790,20161213,,,85,routine
990790,20161213,,,,followup
504285,20130711,,,98,routine
504285,20121011,,,95,routine
504285,20120306,,,98,routine
504285,20150723,,,99,routine
504285,20141113,,,99,routine
504285,20140416,,,96,routine
504285,20160329,,,97,routine
504285,20160509,,,95,routine
504285,20160509,,,,followup
504285,20161214,,,94,routine
504285,20161214,,,,followup
314692,20130903,,,94,routine
314692,20121227,,,93,routine
314692,20120321,,,93,routine
314692,20141014,,,,followup
314692,20141003,,,91,routine
314692,20140401,,,97,routine
314692,20150929,,,96,routine
314692,20150717,,,,followup
314692,20150709,,,90,routine
314692,20160314,,,97,routine
314692,20161214,,,95,routine
265873,20121206,,,100,routine
265873,20110902,,,100,routine
265873,20151123,,,97,routine
265873,20141217,,,98,routine
265873,20131216,,,100,routine
265873,20161214,,,100,routine
499850,20120312,,,97,routine
499850,20110202,,,99,routine
499850,20151120,,,98,routine
499850,20140827,,,100,routine
499850,20130619,,,99,routine
499850,20161214,,,98,routine
442638,20121023,,,,followup
442638,20121003,,,,routine
442638,20151221,,,90,routine
442638,20141203,,,97,routine
442638,20131211,,,98,routine
442638,20161115,,,92,routine
442638,20161115,,,,followup
442638,20161214,,,,followup
325254,20131114,,,99,routine
325254,20131114,,,97,routine
325254,20130417,,,98,routine
325254,20130417,,,,routine
325254,20120530,,,97,routine
325254,20120530,,,,routine
325254,20150109,,,99,routine
325254,20150109,,,97,routine
325254,20150109,,,,routine
325254,20140612,,,96,routine
325254,20140612,,,,routine
325254,20150915,,,98,routine
325254,20150915,,,98,routine
325254,20150915,,,97,routine
325254,20150915,,,,routine
325254,20150304,,,,routine
325254,20150116,,,,followup
325254,20150116,,,,followup
325254,20160222,,,100,routine
325254,20160222,,,99,routine
325254,20160222,,,98,routine
325254,20161214,,,98,routine
325254,20161214,,,98,routine
325254,20161214,,,,routine
229399,20120727,,,,routine
229399,20130226,,,96,routine
229399,20130222,,,,routine
229399,20150213,,,100,routine
229399,20130312,,,100,routine
229399,20151229,,,94,routine
229399,20150213,,,99,routine
229399,20140917,,,96,routine
229399,20160519,,,100,routine
229399,20161214,,,93,routine
387092,20130923,,,100,routine
387092,20130129,,,100,routine
