"business_id","Score","date","type"
10,,"20160707","Complaint Reinspection/Followup"
10,82,"20160503","Routine - Unscheduled"
10,,"20140807","Reinspection/Followup"
10,94,"20140729","Routine - Unscheduled"
10,,"20140124","Reinspection/Followup"
10,92,"20140114","Routine - Unscheduled"
19,94,"20160513","Routine - Unscheduled"
19,94,"20141110","Routine - Unscheduled"
19,94,"20140214","Routine - Unscheduled"
24,98,"20161005","Routine - Unscheduled"
24,96,"20160311","Routine - Unscheduled"
24,96,"20141124","Routine - Unscheduled"
24,96,"20140612","Routine - Unscheduled"
31,,"20161020","Non-inspection site visit"
31,,"20160901","Reinspection/Followup"
31,84,"20160816","Routine - Unscheduled"
31,98,"20151204","Routine - Unscheduled"
31,100,"20140908","Routine - Unscheduled"
45,84,"20160614","Routine - Unscheduled"
45,78,"20160104","Routine - Unscheduled"
45,,"20151230","Non-inspection site visit"
45,94,"20140909","Routine - Unscheduled"
48,94,"20160630","Routine - Unscheduled"
48,92,"20140523","Routine - Unscheduled"
50,80,"20160614","Routine - Unscheduled"
50,,"20150513","Non-inspection site visit"
50,100,"20140402","Routine - Unscheduled"
54,100,"20150526","Routine - Unscheduled"
54,92,"20140325","Routine - Unscheduled"
56,,"20161020","Complaint"
56,90,"20160802","Routine - Unscheduled"
56,,"20151230","Reinspection/Followup"
56,,"20151230","Complaint Reinspection/Followup"
56,88,"20151222","Routine - Unscheduled"
56,,"20151222","Complaint"
56,98,"20141117","Routine - Unscheduled"
56,,"20140912","Non-inspection site visit"
56,100,"20140423","Routine - Unscheduled"
58,73,"20160407","Routine - Unscheduled"
58,,"20140908","Non-inspection site visit"
58,,"20140805","Reinspection/Followup"
58,78,"20140725","Routine - Unscheduled"
61,94,"20160708","Routine - Unscheduled"
61,92,"20150827","Routine - Unscheduled"
61,94,"20140530","Routine - Unscheduled"
66,100,"20160902","Routine - Unscheduled"
66,98,"20160322","Routine - Unscheduled"
66,100,"20150828","Routine - Unscheduled"
66,98,"20141119","Routine - Unscheduled"
66,91,"20140519","Routine - Unscheduled"
66,98,"20140210","Routine - Unscheduled"
