"business_id","date","ViolationTypeID","risk_category","description"
10,"20160503",103148,"Low Risk","No thermometers or uncalibrated thermometers "
10,"20160503",103103,"High Risk","High risk food holding temperature "
10,"20160503",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
10,"20160503",103114,"High Risk","High risk vermin infestation"
10,"20160503",103103,"High Risk","High risk food holding temperature "
10,"20140114",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
10,"20140114",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
10,"20140114",103145,"Low Risk","Improper storage of equipment utensils or linens"
10,"20140729",103129,"Moderate Risk","Insufficient hot water or running water"
10,"20140729",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
19,"20141110",103145,"Low Risk","Improper storage of equipment utensils or linens"
19,"20141110",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
19,"20160513",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
19,"20160513",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
19,"20160513",103157,"Low Risk","Food safety certificate or food handler card not available"
19,"20140214",103156,"Low Risk","Permit license or inspection report not posted"
19,"20140214",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
24,"20161005",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
24,"20141124",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
24,"20160311",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
24,"20160311",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
24,"20140612",103145,"Low Risk","Improper storage of equipment utensils or linens"
24,"20140612",103156,"Low Risk","Permit license or inspection report not posted"
31,"20151204",103157,"Low Risk","Food safety certificate or food handler card not available"
31,"20160816",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
31,"20160816",103139,"Low Risk","Improper food storage"
31,"20160816",103145,"Low Risk","Improper storage of equipment utensils or linens"
31,"20160816",103156,"Low Risk","Permit license or inspection report not posted"
31,"20160816",103138,"Low Risk","Improper storage use or identification of toxic substances"
